0.00159053,0.01809843,0.00032142,0.90624267,0.19570634,0.02030877,0.00052702,0.01077469,0.51063067,0.06146127,0.05383836,0.00109060,0.01037609,0.31607667,0.17068861,0.97513205,0.00195839,0.89817232,0.12130268,0.19652623,0.00217950,0.00001458,0.84798479,0.00007508,0.00033275,0.20394523,0.02680869,0.00846437,0.00001418,0.00008149,0.92095423,0.51849681,0.90697026,0.01409488,0.42677715,0.02787794,0.00039820,0.92952299,0.16766706,0.00055963,0.06712723,0.49308220,0.03044981,0.00100081,0.96310157,0.82626879,0.06769682,0.02679964,0.00098768,0.04690298,0.00148028,0.06257064,0.00005521,0.04335996,0.53091598,0.92664438,0.38989398,0.71655929,0.00284852,0.00055530,0.00058342,0.00033897,0.99207169,0.34370977,0.43010783,0.01852338,0.47004417,0.02807400,0.07379954,0.00025581,0.36239311,0.00167466,0.00062953,0.02385506,0.57009625,0.00024134,0.95444173,0.00002116,0.02641849,0.05153833,0.00408560,0.13663475,0.00014867,0.25120544,0.00245923,0.00101028,0.05506619,0.00078942,0.00234912,0.99415588,0.02170436,0.00135852,0.02410471,0.00068203,0.01042872,0.00284430,0.01158108,0.00133686,0.43991011,0.41257995,0.03842882,0.00012781,0.17537086,0.00002893,0.13497777,0.00230525,0.00007245,0.00101658,0.08244488,0.00029100,0.00126623,0.41292790,0.83063889,0.00315312,0.40601587,0.12810768,0.64282268,0.00970775
0.00553593,0.02253354,0.00108598,0.97810584,0.15460065,0.05527494,0.02350683,0.02671519,0.51163894,0.16525878,0.01960169,0.00000049,0.00047938,0.86590964,0.81139010,0.99228239,0.01395486,0.34129196,0.00259446,0.65657783,0.00408170,0.00013104,0.00858658,0.00029812,0.00000009,0.87637508,0.00099994,0.10623976,0.00010387,0.00003183,0.95907056,0.48172519,0.97606891,0.00662388,0.92065233,0.05486318,0.04027568,0.98629659,0.99105018,0.00088430,0.00647023,0.47437459,0.07039268,0.00076618,0.05023356,0.63821596,0.22236086,0.95750481,0.00430106,0.12284539,0.00006619,0.07380726,0.00002867,0.02231596,0.94305980,0.99800974,0.45341200,0.24829115,0.00071293,0.01611846,0.00017310,0.04776623,0.99010235,0.84449989,0.38860506,0.03797268,0.10488396,0.03907792,0.05743059,0.00662277,0.49110889,0.58770537,0.00005149,0.00587236,0.06631084,0.00929316,0.97655469,0.00034902,0.04985384,0.54599804,0.00020921,0.32771978,0.00089549,0.02589577,0.00993431,0.00315085,0.00078315,0.01924816,0.03652591,0.99057174,0.03831184,0.00930623,0.00338643,0.01582672,0.01366581,0.00005489,0.00518689,0.00002858,0.26089314,0.27724794,0.03066136,0.00040160,0.02944516,0.00022060,0.05384667,0.00879130,0.00418075,0.03613823,0.07190432,0.00108858,0.00007798,0.67883700,0.99606639,0.10196415,0.48343629,0.00189207,0.59596723,0.01994898
0.04009180,0.10566319,0.00129565,0.97735351,0.03835845,0.00617004,0.01121527,0.06973882,0.35261962,0.11555766,0.13018604,0.00000014,0.00356212,0.42239729,0.40893075,0.14590371,0.14055459,0.47955719,0.04528481,0.99619579,0.00250870,0.01656485,0.22123627,0.00113614,0.00046189,0.33218116,0.00424398,0.05956564,0.00024985,0.00037590,0.94338834,0.66795546,0.99536890,0.00152952,0.73223400,0.00217564,0.00788497,0.96103323,0.93617564,0.00004757,0.02361893,0.27045393,0.02648479,0.00008670,0.02144900,0.81637901,0.24309738,0.94258416,0.01285492,0.50183403,0.01155555,0.66399682,0.00012241,0.07824158,0.83624339,0.94781542,0.16669422,0.43844518,0.00184777,0.00796578,0.00005556,0.00016705,0.92644376,0.88790977,0.83381331,0.16573291,0.15871397,0.07294677,0.19559191,0.05776006,0.72805119,0.07068852,0.00018498,0.01742901,0.00786597,0.03631559,0.98882771,0.00085737,0.06476636,0.01419971,0.00011520,0.04096586,0.00136949,0.01423568,0.14559975,0.00333757,0.00123604,0.01027203,0.07986385,0.92080861,0.00123147,0.07447708,0.00055127,0.00809629,0.12469303,0.00008884,0.01999770,0.00010371,0.16194689,0.35018620,0.00920535,0.00007184,0.01916343,0.00200736,0.00755466,0.00362717,0.00024582,0.00025914,0.06294377,0.00019555,0.00283840,0.19802628,0.47286984,0.02342220,0.70384258,0.16043147,0.05978712,0.00032684
0.02211973,0.04234389,0.04771154,0.07142276,0.08282863,0.03363796,0.00085563,0.53000063,0.15714189,0.12359789,0.01765266,0.00122676,0.01323124,0.68030059,0.20722501,0.39219147,0.03613527,0.10055699,0.20431644,0.78209859,0.00574852,0.00806480,0.17092709,0.00311442,0.00001587,0.08592830,0.00112315,0.13565147,0.00020132,0.01233406,0.75220788,0.10657670,0.99634385,0.13761050,0.19076641,0.00050120,0.02814016,0.89010227,0.42504188,0.00265908,0.08675637,0.49994528,0.04187367,0.02708520,0.41070089,0.30219570,0.32974020,0.83565873,0.05169830,0.02384186,0.00969665,0.39074257,0.00010514,0.10010212,0.80851454,0.84697366,0.09126420,0.44711006,0.00372932,0.00308776,0.00289064,0.00182102,0.31905803,0.16118066,0.37556499,0.78404170,0.19667913,0.01432503,0.04255032,0.08507291,0.77548182,0.01616607,0.00047955,0.03081194,0.09371670,0.04101629,0.96055466,0.00164785,0.09892971,0.07714956,0.00988715,0.11008316,0.00426371,0.07113682,0.02152366,0.19400398,0.00006341,0.05986803,0.03856414,0.86766034,0.00020625,0.00106231,0.02466575,0.00036785,0.48940045,0.00034199,0.26053953,0.00002386,0.24342927,0.64580315,0.10374236,0.00151764,0.22936453,0.03479796,0.26319280,0.00657092,0.00299361,0.00669337,0.01375052,0.00004659,0.00030314,0.16801853,0.09746730,0.05546328,0.38907883,0.34437305,0.00136868,0.00024687
0.00856043,0.23842721,0.12982513,0.00216323,0.19310802,0.08426871,0.00059178,0.17285174,0.21127315,0.04265279,0.03414373,0.06737676,0.01701173,0.53763252,0.33170190,0.90800554,0.01064672,0.11868145,0.32841337,0.83655787,0.02709273,0.07797347,0.02382807,0.01245991,0.00094389,0.31038553,0.00438426,0.13383131,0.00201554,0.09048671,0.07871045,0.38434410,0.97819978,0.00963547,0.53897339,0.02451382,0.02681085,0.72435433,0.35332900,0.00487626,0.05132906,0.73727202,0.07967286,0.00182136,0.06426830,0.43659291,0.06540737,0.48770261,0.28736430,0.01332206,0.00138854,0.22891918,0.00014231,0.09904934,0.54493409,0.52251774,0.07724032,0.88443542,0.00350549,0.01041485,0.00220229,0.00545476,0.08537649,0.01791777,0.49007607,0.90041625,0.04435709,0.02589426,0.12265881,0.01353529,0.51696354,0.14733022,0.00200418,0.01283194,0.10940426,0.05756154,0.98716182,0.02957835,0.10036050,0.09919637,0.01200090,0.13425034,0.01658965,0.03495643,0.01344330,0.24885805,0.00006235,0.02632666,0.05462400,0.66112471,0.03623675,0.00608437,0.00732741,0.00027334,0.07817101,0.00599696,0.29191703,0.00004647,0.36904562,0.42759332,0.06062984,0.00349414,0.15181236,0.00847463,0.08947876,0.02043228,0.00122968,0.00129687,0.20214339,0.00205237,0.00098312,0.21675007,0.23987484,0.08629919,0.33954039,0.57026732,0.00591992,0.00127421
0.01442837,0.10062414,0.24459113,0.33771625,0.07721175,0.12384690,0.03079754,0.00345167,0.16671796,0.02995726,0.03685267,0.04351025,0.15997201,0.51450491,0.58863384,0.51755911,0.09448086,0.41249323,0.15112224,0.22835495,0.20297725,0.08970656,0.01360160,0.09820727,0.00035314,0.21396154,0.00203895,0.09158915,0.00327038,0.00872987,0.59838134,0.26269400,0.94088978,0.00593952,0.34275562,0.13863927,0.06580118,0.62959033,0.30555820,0.01345938,0.23520185,0.61122316,0.02265699,0.01334832,0.06774025,0.70697272,0.31204379,0.41568890,0.72622257,0.00425495,0.00168820,0.26004770,0.00055386,0.08808637,0.12318435,0.38598531,0.32185632,0.99691361,0.00117003,0.02490105,0.01499768,0.01492572,0.50100034,0.07805905,0.31166345,0.10774922,0.04857422,0.12435736,0.37100703,0.17805307,0.13548434,0.45278916,0.00617041,0.03639746,0.26968321,0.01275731,0.38808182,0.00599299,0.06834830,0.39991069,0.00894410,0.10950204,0.02869799,0.04226916,0.02398538,0.02198092,0.00214934,0.09700804,0.15926145,0.64434832,0.06751573,0.00307234,0.05206587,0.00094127,0.00399006,0.01515965,0.06663130,0.00004767,0.20456322,0.09295145,0.10342149,0.00293973,0.04817257,0.00405678,0.25305235,0.00491697,0.00015890,0.00052699,0.42832255,0.01448649,0.00099882,0.34801731,0.35719749,0.02589284,0.28001869,0.25526497,0.03199556,0.02789746
0.02935281,0.08130677,0.01082029,0.65627813,0.19240367,0.00150824,0.00281932,0.00146881,0.01518388,0.04250700,0.00355008,0.09702755,0.22324726,0.42671296,0.15472473,0.58260798,0.00430836,0.28546110,0.16849719,0.21794410,0.00522847,0.06580510,0.01839584,0.02173148,0.00351403,0.13983452,0.00624867,0.00243651,0.00004729,0.04201544,0.95346302,0.43015173,0.70717746,0.00973975,0.16788968,0.11979810,0.00031464,0.19561426,0.09780014,0.02230295,0.14265840,0.25605056,0.00686683,0.00897356,0.08658902,0.35496992,0.52112097,0.25725114,0.01441977,0.00960463,0.00319348,0.01381656,0.00674445,0.00105881,0.07160047,0.82730156,0.19091955,0.99318689,0.00445819,0.02445797,0.00158151,0.00600809,0.89876992,0.27735579,0.19820386,0.02073932,0.07169814,0.00759844,0.65156174,0.00338423,0.20840175,0.65942043,0.00293196,0.01850687,0.65159076,0.00149408,0.84420931,0.00343122,0.02850917,0.18038873,0.01260325,0.07549895,0.00089905,0.10711393,0.01821965,0.00112292,0.00570311,0.00093233,0.50751704,0.31284776,0.13077953,0.00088758,0.00409180,0.00491729,0.00076020,0.03249308,0.07155112,0.00000568,0.13085981,0.69408268,0.00052044,0.00155984,0.24806000,0.01344581,0.08314265,0.00079271,0.00006190,0.00803867,0.30735645,0.00086232,0.00026781,0.10790408,0.64504606,0.00480233,0.04034851,0.00602468,0.08728662,0.02957986
0.09790134,0.05934621,0.20055488,0.92385083,0.42554447,0.00126567,0.00998946,0.00011859,0.01804162,0.06786589,0.00071918,0.05170749,0.31004405,0.48280394,0.36154038,0.24732615,0.00662891,0.25110155,0.57544577,0.39695516,0.01547954,0.32240650,0.01271458,0.11921649,0.00268479,0.02917606,0.02081109,0.00041221,0.02113833,0.87652814,0.68975240,0.16856936,0.71459186,0.00412627,0.14277264,0.04754875,0.00206678,0.16216591,0.21704142,0.22049439,0.08982471,0.15904579,0.00071680,0.00449998,0.07088730,0.38083836,0.79697913,0.21454206,0.05632430,0.03913569,0.00218828,0.09133141,0.23256171,0.00205878,0.00630404,0.86005807,0.24828711,0.99980819,0.00638084,0.20783442,0.00368001,0.01549272,0.51000774,0.02422426,0.11739910,0.00526561,0.01687072,0.00919986,0.79756904,0.01469413,0.07753717,0.53377682,0.30799621,0.10778891,0.04502986,0.00136897,0.59311938,0.00078367,0.08724904,0.11765916,0.28223729,0.02582619,0.00891761,0.09197522,0.18051037,0.00435760,0.06348466,0.00015780,0.48148364,0.13171996,0.07021480,0.03471734,0.00307849,0.01531721,0.00034152,0.01952181,0.26989597,0.00000181,0.05486183,0.74507177,0.00211928,0.15374003,0.05022280,0.18576804,0.08425358,0.00616775,0.00402919,0.10343077,0.18430546,0.00879225,0.00119865,0.33518288,0.47978705,0.00033083,0.04123407,0.01848357,0.22966862,0.00712770
0.00649403,0.21910298,0.18813178,0.44492176,0.53336459,0.00048675,0.00173082,0.00008197,0.01818510,0.15308638,0.00002830,0.15254413,0.61967367,0.27474558,0.05292317,0.28398839,0.00402510,0.43386436,0.28207633,0.38676327,0.20493342,0.22239397,0.01157084,0.27195671,0.09654684,0.13278851,0.28155991,0.00032875,0.00289232,0.24857400,0.46667951,0.18698186,0.26757994,0.00484598,0.27960238,0.03639624,0.00046024,0.05130471,0.21246514,0.47561789,0.08385327,0.48228428,0.00055412,0.01116188,0.29604638,0.76349175,0.72950590,0.16810818,0.02273985,0.12243284,0.02974117,0.04407186,0.21886936,0.00184763,0.02532117,0.24004702,0.48419070,0.99986994,0.05011260,0.08884941,0.01668659,0.04660273,0.12311795,0.00446066,0.02882431,0.00124177,0.00550846,0.00480275,0.71620935,0.00791243,0.06318018,0.91660309,0.08584921,0.08749378,0.21306065,0.00011046,0.33592394,0.00077976,0.13544448,0.32879594,0.13482818,0.00478747,0.04133534,0.08971626,0.02579433,0.00602311,0.31508389,0.00011112,0.13112544,0.02832130,0.05747100,0.00778818,0.00329755,0.07777910,0.00031292,0.03627016,0.21000870,0.00000022,0.16992828,0.04892202,0.00228117,0.04061855,0.37107253,0.05137404,0.08377629,0.00800067,0.03740375,0.07228214,0.37813169,0.01721644,0.03433333,0.11574336,0.71649742,0.00081867,0.04565543,0.01929424,0.08796037,0.02629605
0.00850073,0.24646896,0.40848067,0.01610096,0.43568406,0.00050342,0.00249784,0.00000173,0.02589081,0.21492718,0.00000094,0.19546394,0.09013025,0.50719905,0.04890149,0.84156567,0.00006584,0.11376259,0.08131471,0.71271729,0.00956030,0.09232386,0.07943010,0.03561420,0.05133741,0.00138996,0.19642401,0.00030676,0.00010521,0.08371465,0.12795818,0.28686506,0.25867495,0.09791547,0.24308437,0.20780268,0.00099337,0.02491194,0.32360810,0.74950087,0.45294690,0.07649945,0.00234054,0.01830583,0.24404582,0.94067597,0.71258479,0.15051512,0.27419630,0.96704739,0.05583121,0.47276527,0.42240340,0.00229078,0.02734888,0.45965680,0.30587289,0.99998033,0.23734719,0.06382311,0.06617045,0.38999063,0.76235336,0.00015077,0.03174769,0.00016198,0.00264817,0.02183892,0.18353178,0.00133482,0.20261052,0.82937795,0.01929029,0.08645644,0.99081790,0.00018716,0.22633182,0.00027568,0.16355558,0.50516593,0.09839974,0.00677258,0.24882053,0.05011822,0.00163405,0.00185887,0.13779847,0.00024176,0.06842096,0.08045841,0.97814709,0.01379338,0.00098953,0.03978078,0.00969786,0.01604806,0.14311922,0.00000016,0.23203206,0.24631312,0.00193823,0.09320952,0.33647782,0.00661975,0.44026414,0.00057849,0.03735993,0.22404820,0.04547272,0.00212498,0.07847001,0.01557665,0.99481612,0.00001401,0.07738119,0.00156663,0.05025490,0.01165930
